CEP,Nome da Unidade,Endereço,DRE,address_type,address_name,address,state,district,lat,lng,city,city_ibge,ddd
05203200,CEU Perus,"Rua Bernado José de Lorena, S/N - Vila Fanton",DRE Pirituba,Rua,Bernardo José de Lorena,Rua Bernardo José de Lorena,SP,Vila Fanton,-23.40642,-46.75081,São Paulo,3550308,11
05212000,Escola Aberta – EMEF Badra,"Rua Principal, S/N - Jardim da Conquista",DRE Pirituba,Rua,Principal,Rua Principal,SP,Jardim da Conquista,-23.60862,-46.44794,São Paulo,3550308,11
05267174,CEU Parque Anhanguera,"Rua Pedro José de Lima, 1020 - Anhanguera",DRE Pirituba,Rua,Pedro José de Lima,Rua Pedro José de Lima,SP,Jardim Anhangüera,-23.44234,-46.7874,São Paulo,3550308,11
05273140,CEU Sapopemba,"Rua Manuel Quirino De Mattos, S/N - Jardim Sapopemba",DRE São Mateus,Rua,Conselheiro Antônio,Rua Conselheiro Antônio,SP,Vila dos Palmares,-23.5629,-46.65474,São Paulo,3550308,11
05273140,Escola Aberta – EMEF Profa. Marili Dias,"Rua Antônio Conselheiro, 1 - Vila dos Palmares",DRE Pirituba,Rua,Conselheiro Antônio,Rua Conselheiro Antônio,SP,Vila dos Palmares,-23.5629,-46.65474,São Paulo,3550308,11
05347010,CEU Jaguaré – Professor Henrique Gamba,"Avenida Kenkiti Simomoto, 80 - Jaguaré",DRE Pirituba,Avenida,Kenkiti Simomoto,Avenida Kenkiti Simomoto,SP,Jaguaré,-23.55173,-46.73955,São Paulo,3550308,11
05386070,Escola Aberta – EMEF General Alvaro Silva Braga,"Rua Padre Paulo Canelles, 611 - Vila Dalva",DRE Butantã,Rua,Padre Paulo Canelles,Rua Padre Paulo Canelles,SP,Vila Dalva,-23.56509,-46.76326,São Paulo,3550308,11
05570030,CEU Uirapuru,"Rua Nazir Miguel, 849 - Jardim Paulo VI",DRE Butantã,Rua,Nazir Miguel,Rua Nazir Miguel,SP,Jardim Paulo VI,-23.60263,-46.79263,São Paulo,3550308,11
05588001,CEU Butantã – Professora Elizabeth Gaspar Tunala,"Av. Eng. Heitor Antônio Eiras Garcia, 1870 - Jardim Esmeralda",DRE Butantã,Avenida,Engenheiro Heitor Antônio Eiras Garcia,Avenida Engenheiro Heitor Antônio Eiras Garcia,SP,Jardim Esmeralda,-23.59975,-46.77079,São Paulo,3550308,11
05685060,Escola Aberta – EMEF José de Alcantara Machado Filho,"Rua Mattia Filizzola, 76 - Real Parque",DRE Butantã,Rua,Mattia Filizzola,Rua Mattia Filizzola,SP,Real Parque,-23.60797,-46.70493,São Paulo,3550308,11
05712040,CEU Paraisópolis – Professora Marisa Motta,"Rua Doutor José Augusto de Souza e Silva, S/N - Jardim Parque Morumbi",DRE Butantã,Rua,Doutor José Augusto de Souza e Silva,Rua Doutor José Augusto de Souza e Silva,SP,Jardim Parque Morumbi,-23.62062,-46.72956,São Paulo,3550308,11
05767480,Escola Aberta – EMEF Coronel Palimercio de Rezende,"Rua Manuel Ribeiro de Azevedo, S/N - Jardim Catanduva",DRE Campo Limpo,Rua,Manuel Ribeiro de Azevedo,Rua Manuel Ribeiro de Azevedo,SP,Jardim Catanduva,-23.63496,-46.762,São Paulo,3550308,11
05789000,CEU Campo Limpo – Cardeal Dom Agnelo Rossi,"Avenida Carlos Lacerda, 678 - Pirajussara",DRE Campo Limpo,Avenida,Carlos Lacerda,Avenida Carlos Lacerda,SP,Pirajussara,-23.64522,-46.77943,São Paulo,3550308,11
05822015,Escola Aberta – EMEF M Boi Mirim II,"Rua José Manoel Camisa Nova, 552 - Parque Santo Antônio",DRE Campo Limpo,Rua,José Manoel Camisa Nova,Rua José Manoel Camisa Nova,SP,Parque Santo Antônio,-23.66467,-46.74661,São Paulo,3550308,11
05841160,CEU Casa Blanca – Professor Solon Borges dos Reis,"Rua João Damasceno, 85 - Vila das Belezas",DRE Campo Limpo,Rua,João Damasceno,Rua João Damasceno,SP,Vila das Belezas,-23.64625,-46.74434,São Paulo,3550308,11
05856020,CEU Cantos do Amanhecer,"Avenida Cantos do Amanhecer, S/N - Jardim Eledy",DRE Campo Limpo,Avenida,Cantos do Amanhecer,Avenida Cantos do Amanhecer,SP,Jardim Eledy,-23.64973,-46.78574,São Paulo,3550308,11
05867380,CEU Capão Redondo – Professor Dr. Celso Seixas Ribeiro Bastos,"Rua Daniel Gran, S/N - Jardim Modelo",DRE Campo Limpo,Rua,Daniel Gran,Rua Daniel Gran,SP,Jardim Modelo,-23.67463,-46.76875,São Paulo,3550308,11
05879000,CEU Feitiço da Vila – Dep. Prof. José Freitas Nobre,"Rua Feitiço da Vila, 399 - Chácara Santa Maria",DRE Campo Limpo,Rua,Feitiço da Vila,Rua Feitiço da Vila,SP,Chácara Santa Maria,-23.68668,-46.79603,São Paulo,3550308,11
05890320,Escola Aberta – EMEF Maria Rita L Pontes – Irmã Dulce,"Rua Vitoriano Palhares, 10 - Jardim Amalia",DRE Campo Limpo,Rua,Vitoriano Palhares,Rua Vitoriano Palhares,SP,Jardim Amália,-23.66681,-46.79244,São Paulo,3550308,11
08021480,CEU São Miguel – Luiz Melodia,"Rua José Ferreira Crespo, 475 - Jardim São Vicente",DRE São Miguel,Rua,José Ferreira Crespo,Rua José Ferreira Crespo,SP,Jardim São Vicente,-23.49927,-46.43002,São Paulo,3550308,11
08031160,Escola Aberta – EMEF Prof. Fernando Azevedo,"Rua Tapera, 415 - Vila Nova Curuçá",DRE São Miguel,Rua,Tapera,Rua Tapera,SP,Vila Industrial,-23.60222,-46.56904,São Paulo,3550308,11
08040370,Escola Aberta – EMEF Pedro Fukuyei Y. Ferreira,"Rua Faveira do Mato, 530 - Jardim Planalto",DRE São Miguel,Rua,Faveira do Mato,Rua Faveira do Mato,SP,Jardim Planalto,-23.50781,-46.44722,São Paulo,3550308,11
08062590,CEU Parque São Carlos,"Rua Clarear, 141 - Jardim São Carlos",DRE São Miguel,Rua,Clarear,Rua Clarear,SP,Jardim São Carlos,-22.01935,-47.89869,São Paulo,3550308,11
08130110,Escola Aberta – EMEF Dr. Jose Pedro Leite Cordeiro,"Rua Des. Fernando de Albuquerque Prado, 250 - Cidade Kemel",DRE Itaquera,Rua,Desembargador Fernando de Albuquerque Prado,Rua Desembargador Fernando de Albuquerque Prado,SP,Cidade Kemel,-23.50924,-46.3704,São Paulo,3550308,11
08141290,CEU Parque Veredas – João Antonio da Silva,"Rua Daniel Muller, 347 - Chacara Dona Olivia",DRE São Miguel,Rua,Daniel Muller,Rua Daniel Muller,SP,Chácara Dona Olívia,-23.51351,-46.38995,São Paulo,3550308,11
08160495,CEU Vila Curuçá,"Av. Marechal Tito, 3.452 - Vila Curuçá",DRE São Miguel,Avenida,Marechal Tito,Avenida Marechal Tito,SP,Jardim Silva Teles,-23.49497,-46.40902,São Paulo,3550308,11
08191330,CEU Três Pontes – Professora Nilzete Letícia Bispo dos Santos Lima,"Rua Capachós, 400 - Jardim Célia",DRE São Miguel,Rua,Capachós,Rua Capachós,SP,Jardim Célia,-23.47994,-46.38113,São Paulo,3550308,11
08225380,CEU Azul da Cor do Mar – Professor Jossei Toda,"Av. Ernesto Souza Cruz, 2171 - Cidade Antônio Estêvão de Carvalho",DRE Itaquera,Avenida,Ernesto Souza Cruz,Avenida Ernesto Souza Cruz,SP,Cidade Antônio Estevão de Carvalho,-23.52249,-46.45894,São Paulo,3550308,11
08257010,Escola Aberta – EMEF Águas de Março,"Rua Águas de Março, S/N - Conj. Res. José Bonifácio",DRE Itaquera,Rua,Águas de Março,Rua Águas de Março,SP,Conjunto Residencial José Bonifácio,-23.55345,-46.43047,São Paulo,3550308,11
08270000,CEU Parque do Carmo – João Cândido (Almirante Negro),"Rua Gaspar da Silva, 240 - Parque do Carmo",DRE Itaquera,Avenida,Afonso de Sampaio e Sousa,Avenida Afonso de Sampaio e Sousa,SP,Jardim Nossa Senhora do Carmo,-23.57299,-46.47455,São Paulo,3550308,11
08280330,"Escola Aberta – EMEF Sebastião Francisco, O Negro","Rua Onofre Jorge Velho, 260 - Cidade Líder",DRE Itaquera,Rua,Onofre Jorge Velho,Rua Onofre Jorge Velho,SP,Cidade Líder,-23.56067,-46.47048,São Paulo,3550308,11
08285060,CEU Arthur Alvim – Abdias do Nascimento,"Avenida Sylvio Torres, 295 - Arthur Alvim",DRE Penha,Avenida,Itaquera,Avenida Itaquera,SP,Cidade Líder,-23.55061,-46.49725,São Paulo,3550308,11
08341240,CEU São Mateus,"Rua Curumatim, 201 - Parque Boa Esperança",DRE São Mateus,Rua,Curumatim,Rua Curumatim,SP,Parque Boa Esperança,-23.60252,-46.4507,São Paulo,3550308,11
08381001,CEU Alto Alegre – Professor Paulo Suyoshi Minami,"Av Bento Guelfi, 1.340 - Rua Tamotsu Yabuta - Jardim Laranjeira – Iguatemi",DRE São Mateus,Avenida,Bento Guelfi,Avenida Bento Guelfi,SP,Jardim Iguatemi,-23.60408,-46.4296,São Paulo,3550308,11
08391280,Escola Aberta – EMEF Profa. Maria Aparecida Vilasboas,"Rua dos Lírios, 2 - Parque das Flores",DRE São Mateus,Rua,dos Lírios,Rua dos Lírios,SP,Parque das Flores,-23.63996,-46.44593,São Paulo,3550308,11
08395320,CEU São Rafael,"Rua Cinira Polonio, 100 - Promorar Rio Claro",DRE São Mateus,Rua,Cinira Polônio,Rua Cinira Polônio,SP,Conjunto Promorar Rio Claro,-23.62418,-46.45465,São Paulo,3550308,11
08420092,CEU Jambeiro,"Av. José Pinheiro Borges, 60 - Guaianases",DRE Guaianases,Avenida,José Pinheiro Borges,Avenida José Pinheiro Borges,SP,Jardim Helena,-23.53233,-46.45031,São Paulo,3550308,11
08420690,CEU José Bonifácio – Francisco José do Nascimento (Dragão do Mar),"Rua Professora Lucila Cerqueira, 194 - Jardim São Pedro",DRE Itaquera,Rua,Professora Lucila Cerqueira,Rua Professora Lucila Cerqueira,SP,Jardim São Pedro,-23.54751,-46.42782,São Paulo,3550308,11
08451420,CEU Lajeado,"Rua Manuel da Mota Coutinho, 293 - Lajeado",DRE Guaianases,Rua,Manuel da Mota Coutinho,Rua Manuel da Mota Coutinho,SP,Lajeado,-23.54377,-46.39727,São Paulo,3550308,11
08460480,Escola Aberta – EMEF Prof. Quirino Carneiro Renno,"Rua Camargo e Leme, 78 - Vila São Geraldo",DRE Guaianases,Rua,Camargo e Leme,Rua Camargo e Leme,SP,Vila São Geraldo,-23.55429,-46.39603,São Paulo,3550308,11
08471000,CEU Água Azul – Professor Paulo Renato Costa Souza,"Avenida dos Metalúrgicos, 1262 - Cidade Tiradentes",DRE Guaianases,Avenida,dos Metalúrgicos,Avenida dos Metalúrgicos,SP,Cidade Tiradentes,-23.59217,-46.407,São Paulo,3550308,11
08471530,Escola Aberta – EMEF Vladimir Herzog,"Rua Francisco José Viana, 894 - Cidade Tiradentes",DRE Guaianases,Rua,do Flúor,Rua do Flúor,SP,Cidade Tiradentes,-23.61133,-46.39598,São Paulo,3550308,11
08472721,CEU Inácio Monteiro,"Rua Barão Barroso de Amazonas, 115 - Prestes Maia",DRE Guaianases,Rua,Barão Barroso do Amazonas,Rua Barão Barroso do Amazonas,SP,Conjunto Habitacional Inácio Monteiro,-23.44879,-46.57553,São Paulo,3550308,11
08473572,CEU Barro Branco – Enedina Alves Marques,"Rua Numa Pompilio, S/N - Conj. Hab. Barro Branco II",DRE Guaianases,Rua,Numa Pompílio,Rua Numa Pompílio,SP,Conjunto Habitacional Barro Branco II,-23.58337,-46.39289,São Paulo,3550308,11
08485475,Escola Aberta – EMEF Profa. Clotilde Rosa H. Elias,"Rua Arroio Campo Bom, 215 - Conj. Hab. Santa Etelvina II",DRE Itaquera,Rua,Arroio Campo Bom,Rua Arroio Campo Bom,SP,Conjunto Habitacional Santa Etelvina III,-23.59711,-46.39829,São Paulo,3550308,11
